nome;squadra_sigla;ruolo;quotazione;mercato;dispersione;prezzo_profeta_norm1000;pma_profeta;fascia_profeta;prezzo_recosta_norm1000;pma_recosta;fascia_recosta;mv;fmv;presenze;minuti;gol;assist;titolarita;affidabilita;integrita
Kabasele;UDI;D;4;5.6;7.4;9.3;0.2;7° Slot relativo;1.9;0.2;POSS OCCASIONE;5.98;6.18;28;2257;3;0;4;4;4
Kolasinac;ATA;D;5;5.6;7.4;9.3;0.2;7° Slot relativo;1.9;0.2;FANTA ROTTO;6.03;5.94;17;1219;0;0;3;4;1
Troilo;PAR;D;3;5.6;7.4;9.3;0.2;7° Slot relativo;1.9;0.2;TITOLARE;5.79;5.72;21;1627;1;0;4;2;5
Ismajli;TOR;D;7;5.6;7.4;9.3;0.2;8° Slot Relativo;1.9;0.2;FANTA ROTTO;5.92;5.9;24;1906;0;2;4;4;2
Monterisi;FRO;D;6;5.6;7.4;9.3;0.3;8° Slot Relativo;1.9;0.3;SCOMMESSA;0;0;25;2042;2;5;3;3;3
Bakola;SAS;C;5;5.6;7.4;9.3;0.2;7° Slot relativo;1.9;0.2;ALTRI;6.17;6.17;3;124;0;0;3;3;3
Oristanio;TOR;C;7;5.6;7.4;9.3;0.2;7° Slot relativo;1.9;0.2;SCOMMESSA;5.78;5.92;18;856;1;0;3;4;3
Romano;CAG;C;5;5.6;7.4;9.3;0.2;7° Slot relativo;1.9;0.2;ALTRI;0;0;19;1429;0;2;4;3;5
Messias;GEN;C;3;5.6;7.4;9.3;0.2;Non Impostata;1.9;0.2;FANTA ROTTO;6.18;6.68;19;676;3;1;2;4;1
Pessina;MON;C;7;5.6;7.4;9.3;0.3;Non Impostata;1.9;0.3;FANTA ROTTO;0;0;37;3267;5;1;5;4;2
Mota;MON;A;5;5.6;7.4;9.3;0.4;5° Slot Relativo;1.9;0.4;ALTRI;0;0;34;1921;5;4;4;4;3
Mangas;MON;D;6;5.3;5.0;2.8;0.6;8° Slot Relativo;7.8;0.6;SCOMMESSA;0;0;15;817;2;1;5;3;3
Obrador;SAS;D;6;4.8;9.7;0.0;0.6;Non Impostata;9.7;0.6;Quarta;6.06;6.4;16;1124;1;3;4;4;2
Pedersen;TOR;D;5;4.8;9.7;0.0;1.0;Non Impostata;9.7;1.0;SCOMMESSA;5.84;5.97;28;2134;1;2;4;3;2
Perin;JUV;P;6;4.7;9.3;9.3;0.2;Non Impostata;0.0;0.2;Non Impostata;6.11;5.11;9;766;0;0;2;5;3
Olivera;NAP;D;5;4.7;9.3;9.3;0.2;6° Slot Relativo;0.0;0.2;Non Impostata;5.75;5.68;22;1369;0;0;3;3;3
Obert;CAG;D;7;4.3;3.0;2.8;0.4;7° Slot relativo;5.8;0.4;SCOMMESSA;5.88;5.82;34;2783;0;3;5;3;4
Pobega;BOL;C;6;4.3;3.0;2.8;0.2;Non Impostata;5.8;0.2;SCOMMESSA;5.83;6.18;23;1434;3;1;4;3;2
Rrahmani Al.;VEN;A;8;4.3;3.0;2.8;0.2;Non Impostata;5.8;0.2;POSS OCCASIONE;0;0;0;;0;0;3;3;5
Meichtry;GEN;C;5;4.2;4.6;6.5;0.2;7° Slot relativo;1.9;0.2;SCOMMESSA;0;0;35;1796;8;3;3;3;3
Mkhitaryan;INT;C;5;4.2;4.6;6.5;0.2;Non Impostata;1.9;0.2;ALTRI;6.21;6.59;28;1554;4;1;3;4;3
Perez K.;VEN;C;5;4.2;4.6;6.5;0.2;Non Impostata;1.9;0.2;SCOMMESSA;0;0;35;2769;3;7;3;3;4
Ratkov;LAZ;A;10;4.2;4.6;6.5;0.3;5° Slot Relativo;1.9;0.3;POSS OCCASIONE;5.64;5.64;7;229;0;0;2;2;4
Oulai;FIO;C;6;3.9;7.8;0.0;0.4;Non Impostata;7.8;0.4;POSS OCCASIONE;0;0;25;2077;2;4;3;3;5
Viery;FIO;D;6;3.3;1.1;2.8;0.6;8° Slot Relativo;3.9;0.6;SCOMMESSA;0;0;0;;0;0;4;3;5
Tomori;MIL;D;7;2.9;5.8;0.0;0.2;Non Impostata;5.8;0.2;SCOMMESSA;5.97;5.88;32;2564;0;1;2;4;3
Corvi;PAR;P;1;2.3;0.9;2.8;0.4;da abbinare;1.9;0.4;Quarta;6.18;5.09;17;1530;0;0;4;4;5
Daffara;PAR;P;7;2.3;0.9;2.8;0.2;da abbinare;1.9;0.2;Quarta;0;0;25;2250;0;0;2;3;4
Desplanches;FRO;P;2;2.3;0.9;2.8;0.2;da abbinare;1.9;0.2;Quarta;0;0;25;2195;0;0;3;3;1
Palmisani;FRO;P;4;2.3;0.9;2.8;0.2;da abbinare;1.9;0.2;Quarta;0;0;38;3411;0;0;3;3;5
Paleari;TOR;P;1;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;Quarta;6.09;4.52;29;2610;0;0;3;3;4
Comert;TOR;D;4;2.3;0.9;2.8;0.2;7° Slot relativo;1.9;0.2;SCOMMESSA;0;0;17;1339;0;0;3;3;1
Bella-Kotchap;VEN;D;6;2.3;0.9;2.8;0.4;8° Slot Relativo;1.9;0.4;TITOLARE;5.83;5.75;18;1346;0;0;5;3;3
Schingtienne;VEN;D;3;2.3;0.9;2.8;0.2;8° Slot Relativo;1.9;0.2;TITOLARE;0;0;35;3047;1;2;5;3;3
Zanoli;UDI;D;4;2.3;0.9;2.8;0.2;8° Slot Relativo;1.9;0.2;FANTA ROTTO;6.05;6.29;19;1291;1;2;3;4;1
Sohm;VEN;C;5;2.3;0.9;2.8;0.2;8° Slot Relativo;1.9;0.2;SCOMMESSA;5.65;5.63;24;1431;0;1;3;2;3
Traorè Hj.;GEN;C;5;2.3;0.9;2.8;0.2;8° Slot Relativo;1.9;0.2;FANTA ROTTO;0;0;13;619;2;1;3;4;2
Adopo;CAG;C;6;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;TITOLARE;5.83;5.88;38;3057;1;1;5;3;5
Cataldi;LAZ;C;4;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;ALTRI;6.07;6.4;27;1993;3;3;4;4;2
Coulibaly L.;LEC;C;6;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;TITOLARE;6.05;6.29;33;2697;3;1;5;4;4
Ellertsson;GEN;C;6;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;TITOLARE;5.84;5.91;35;2768;1;1;3;3;4
Ferguson;BOL;C;7;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;TITOLARE;5.8;5.78;23;1597;1;0;3;4;3
Fitz-Jim;TOR;C;4;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;TITOLARE;0;0;16;493;1;0;4;4;1
Gandelman;LEC;C;5;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;SCOMMESSA;5.97;6.38;17;975;2;1;3;3;3
Grillitsch;FRO;C;5;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;TITOLARE;0;0;20;1129;1;1;3;3;3
